ts,datetime,symbol,long_exchange,short_exchange,direction,mode,funding_hl,funding_aster,spread_bps,notional_usd,expected_funding_bps,expected_net_bps,expected_net_usd,estimated_cost_bps,basis_bps,liquidity_score,stability_score,risk_score,horizon_hours,decision,reason
1778861850,2026-05-15T16:17:30.015466+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861850,2026-05-15T16:17:30.015466+00:00,HYPE,,hyperliquid,short,single,,,,25,0.001575,-7.9874,-0.0199685,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861911,2026-05-15T16:18:30.754567+00:00,BTC,,hyperliquid,short,single,,,,25,0.0146425,-7.88286,-0.01970715,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861911,2026-05-15T16:18:30.754567+00:00,ETH,,hyperliquid,short,single,,,,25,0.00224275,-7.982058,-0.019955145,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861911,2026-05-15T16:18:30.754567+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861911,2026-05-15T16:18:30.754567+00:00,HYPE,,hyperliquid,short,single,,,,25,0.00342475,-7.972602,-0.019931505,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861971,2026-05-15T16:19:31.478102+00:00,BTC,,hyperliquid,short,single,,,,25,0.0146955,-7.882436,-0.01970609,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861971,2026-05-15T16:19:31.478102+00:00,ETH,,hyperliquid,short,single,,,,25,0.001303375,-7.989573,-0.0199739325,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861971,2026-05-15T16:19:31.478102+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861971,2026-05-15T16:19:31.478102+00:00,HYPE,,hyperliquid,short,single,,,,25,0.002102,-7.983184,-0.01995796,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862032,2026-05-15T16:20:31.854585+00:00,BTC,,hyperliquid,short,single,,,,25,0.014529625,-7.883763,-0.0197094075,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862032,2026-05-15T16:20:31.854585+00:00,ETH,hyperliquid,,long,single,,,,25,-0.000910625,-7.992715,-0.0199817875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862032,2026-05-15T16:20:31.854585+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862032,2026-05-15T16:20:31.854585+00:00,HYPE,,hyperliquid,short,single,,,,25,0.002384375,-7.980925,-0.0199523125,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862093,2026-05-15T16:21:32.610713+00:00,BTC,,hyperliquid,short,single,,,,25,0.014661,-7.882712,-0.01970678,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862093,2026-05-15T16:21:32.610713+00:00,ETH,hyperliquid,,long,single,,,,25,-0.00189425,-7.984846,-0.019962115,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862093,2026-05-15T16:21:32.610713+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862093,2026-05-15T16:21:32.610713+00:00,HYPE,,hyperliquid,short,single,,,,25,0.003680375,-7.970557,-0.0199263925,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862153,2026-05-15T16:22:33.350713+00:00,BTC,,hyperliquid,short,single,,,,25,0.014449125,-7.884407,-0.0197110175,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862153,2026-05-15T16:22:33.350713+00:00,ETH,hyperliquid,,long,single,,,,25,-0.001960125,-7.984319,-0.0199607975,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
