ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778884547,2026-05-15T22:35:46.841610+00:00,hyperliquid,ETH,2.573375e-07,0.002573375,,,,,
1778884547,2026-05-15T22:35:46.841610+00:00,hyperliquid,SOL,-9.396875e-07,-0.009396875,,,,,
1778884547,2026-05-15T22:35:46.841610+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884603,2026-05-15T22:36:43.008996+00:00,hyperliquid,BTC,-1.75005e-06,-0.0175005,,,,,
1778884603,2026-05-15T22:36:43.008996+00:00,hyperliquid,ETH,2.958375e-07,0.002958375,,,,,
1778884603,2026-05-15T22:36:43.008996+00:00,hyperliquid,SOL,-9.092875e-07,-0.009092875,,,,,
1778884603,2026-05-15T22:36:43.008996+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884608,2026-05-15T22:36:47.580560+00:00,hyperliquid,BTC,-1.748975e-06,-0.01748975,,,,,
1778884608,2026-05-15T22:36:47.580560+00:00,hyperliquid,ETH,2.969375e-07,0.002969375,,,,,
1778884608,2026-05-15T22:36:47.580560+00:00,hyperliquid,SOL,-9.085875e-07,-0.009085875,,,,,
1778884608,2026-05-15T22:36:47.580560+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884664,2026-05-15T22:37:43.526406+00:00,hyperliquid,BTC,-1.74445e-06,-0.0174445,,,,,
1778884664,2026-05-15T22:37:43.526406+00:00,hyperliquid,ETH,3.0835e-07,0.0030835,,,,,
1778884664,2026-05-15T22:37:43.526406+00:00,hyperliquid,SOL,-9.032375e-07,-0.009032375,,,,,
1778884664,2026-05-15T22:37:43.526406+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884668,2026-05-15T22:37:48.284512+00:00,hyperliquid,BTC,-1.742975e-06,-0.01742975,,,,,
1778884668,2026-05-15T22:37:48.284512+00:00,hyperliquid,ETH,3.0785e-07,0.0030785,,,,,
1778884668,2026-05-15T22:37:48.284512+00:00,hyperliquid,SOL,-9.010125e-07,-0.009010125,,,,,
1778884668,2026-05-15T22:37:48.284512+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884724,2026-05-15T22:38:44.252066+00:00,hyperliquid,BTC,-1.730925e-06,-0.01730925,,,,,
1778884724,2026-05-15T22:38:44.252066+00:00,hyperliquid,ETH,3.019625e-07,0.003019625,,,,,
1778884724,2026-05-15T22:38:44.252066+00:00,hyperliquid,SOL,-8.8665e-07,-0.0088665,,,,,
1778884724,2026-05-15T22:38:44.252066+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884729,2026-05-15T22:38:49.014125+00:00,hyperliquid,BTC,-1.7316375e-06,-0.017316375,,,,,
1778884729,2026-05-15T22:38:49.014125+00:00,hyperliquid,ETH,3.025375e-07,0.003025375,,,,,
1778884729,2026-05-15T22:38:49.014125+00:00,hyperliquid,SOL,-8.893625e-07,-0.008893625,,,,,
1778884729,2026-05-15T22:38:49.014125+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884785,2026-05-15T22:39:44.968293+00:00,hyperliquid,BTC,-1.7341e-06,-0.017341,,,,,
1778884785,2026-05-15T22:39:44.968293+00:00,hyperliquid,ETH,2.81525e-07,0.00281525,,,,,
1778884785,2026-05-15T22:39:44.968293+00:00,hyperliquid,SOL,-8.9785e-07,-0.0089785,,,,,
1778884785,2026-05-15T22:39:44.968293+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884790,2026-05-15T22:39:49.677363+00:00,hyperliquid,BTC,-1.7341e-06,-0.017341,,,,,
1778884790,2026-05-15T22:39:49.677363+00:00,hyperliquid,ETH,2.81525e-07,0.00281525,,,,,
1778884790,2026-05-15T22:39:49.677363+00:00,hyperliquid,SOL,-8.9785e-07,-0.0089785,,,,,
1778884790,2026-05-15T22:39:49.677363+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884846,2026-05-15T22:40:45.790581+00:00,hyperliquid,BTC,-1.7145375e-06,-0.017145375,,,,,
1778884846,2026-05-15T22:40:45.790581+00:00,hyperliquid,ETH,2.869e-07,0.002869,,,,,
1778884846,2026-05-15T22:40:45.790581+00:00,hyperliquid,SOL,-8.995375e-07,-0.008995375,,,,,
1778884846,2026-05-15T22:40:45.790581+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884850,2026-05-15T22:40:50.383144+00:00,hyperliquid,BTC,-1.7132e-06,-0.017132,,,,,
1778884850,2026-05-15T22:40:50.383144+00:00,hyperliquid,ETH,2.879125e-07,0.002879125,,,,,
1778884850,2026-05-15T22:40:50.383144+00:00,hyperliquid,SOL,-8.99625e-07,-0.00899625,,,,,
1778884850,2026-05-15T22:40:50.383144+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884907,2026-05-15T22:41:46.564158+00:00,hyperliquid,BTC,-1.6960625e-06,-0.016960625,,,,,
1778884907,2026-05-15T22:41:46.564158+00:00,hyperliquid,ETH,3.1135e-07,0.0031135,,,,,
