ts,equity,open_pos,quotes,fills_min,pnl_min,pnl_hour,pnl_day,win_rate,avg_hold_s,wins,losses,stops,tps,max_holds,reconnections,wavelet_alerts,pick_rate
2026-05-10T20:49:05,7000.05,0,4,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:49:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:49:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:50:05,7000.05,0,8,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:50:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:50:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:51:06,6999.9,2,2,0,0.0,0.655338,-0.103618,0.1915,450.2,9,38,0,2,45,0,0,0.2462
2026-05-10T20:51:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:51:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:52:08,6999.9,2,2,0,0.0,0.655338,-0.103618,0.1915,450.2,9,38,0,2,45,0,0,0.2462
2026-05-10T20:52:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:52:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:53:09,6999.9,2,2,0,0.0,0.655338,-0.103618,0.1915,450.2,9,38,0,2,45,0,0,0.2462
2026-05-10T20:53:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:53:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:54:09,6999.47,2,2,0,0.0,0.230877,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:54:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:54:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:55:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:55:10,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:55:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:56:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:56:12,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:56:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:57:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:57:14,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:57:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:58:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:58:15,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:58:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
